DUNE WIB Quality Control System - Comprehensive Test Results

WIB Information
Parameter,Value,Status,Timestamp
WIB_ID,WIB_001,,
Tester,,,
Test_Site,,,
Start_Date,2025-12-19 13:19:25,,
Comment,,,

=== Test00: Reception Checkout ===
Item,Parameter,Value,Unit,Status,Min,Max,Timestamp
T03_1V_1FE_I,Slot1_FE_Current,0.85,A,PASS,,,2025-12-19 13:19:25
T03_1V_1CD_V,Slot1_CD_Voltage,1.01,V,PASS,0.85,1.15,2025-12-19 13:19:25
T03_1V_1CD_I,Slot1_CD_Current,0.32,A,PASS,,,2025-12-19 13:19:25
T03_1V_1ADC_V,Slot1_ADC_Voltage,1.03,V,PASS,0.85,1.15,2025-12-19 13:19:25
T03_1V_1ADC_I,Slot1_ADC_Current,1.25,A,PASS,,,2025-12-19 13:19:25
T03_1V_1IDLE_V,Slot1_IDLE_Voltage,1.0,V,PASS,0.85,1.15,2025-12-19 13:19:25
T03_1V_1IDLE_I,Slot1_IDLE_Current,0.15,A,PASS,,,2025-12-19 13:19:25
T03_1V_1BIAS_V,Slot1_BIAS_Voltage,1.01,V,PASS,0.85,1.15,2025-12-19 13:19:25
T03_1V_1BIAS_I,Slot1_BIAS_Current,0.08,A,PASS,,,2025-12-19 13:19:25
T03_1V_2FE_V,Slot2_FE_Voltage,1.02,V,PASS,0.85,1.15,2025-12-19 13:19:25
T03_1V_2FE_I,Slot2_FE_Current,0.85,A,PASS,,,2025-12-19 13:19:25
T03_1V_2CD_V,Slot2_CD_Voltage,1.01,V,PASS,0.85,1.15,2025-12-19 13:19:25
T03_1V_2CD_I,Slot2_CD_Current,0.32,A,PASS,,,2025-12-19 13:19:25
T03_1V_2ADC_V,Slot2_ADC_Voltage,1.03,V,PASS,0.85,1.15,2025-12-19 13:19:25
T03_1V_2ADC_I,Slot2_ADC_Current,1.25,A,PASS,,,2025-12-19 13:19:25
T03_1V_2IDLE_V,Slot2_IDLE_Voltage,1.0,V,PASS,0.85,1.15,2025-12-19 13:19:25
T03_1V_2IDLE_I,Slot2_IDLE_Current,0.15,A,PASS,,,2025-12-19 13:19:25
T03_1V_2BIAS_V,Slot2_BIAS_Voltage,1.01,V,PASS,0.85,1.15,2025-12-19 13:19:25
T03_1V_2BIAS_I,Slot2_BIAS_Current,0.08,A,PASS,,,2025-12-19 13:19:25
T03_1V_3FE_V,Slot3_FE_Voltage,1.02,V,PASS,0.85,1.15,2025-12-19 13:19:25
T03_1V_3FE_I,Slot3_FE_Current,0.85,A,PASS,,,2025-12-19 13:19:25
T03_1V_3CD_V,Slot3_CD_Voltage,1.01,V,PASS,0.85,1.15,2025-12-19 13:19:25
T03_1V_3CD_I,Slot3_CD_Current,0.32,A,PASS,,,2025-12-19 13:19:25
T03_1V_3ADC_V,Slot3_ADC_Voltage,1.03,V,PASS,0.85,1.15,2025-12-19 13:19:25
T03_1V_3ADC_I,Slot3_ADC_Current,1.25,A,PASS,,,2025-12-19 13:19:25
T03_1V_3IDLE_V,Slot3_IDLE_Voltage,1.0,V,PASS,0.85,1.15,2025-12-19 13:19:25
T03_1V_3IDLE_I,Slot3_IDLE_Current,0.15,A,PASS,,,2025-12-19 13:19:25
T03_1V_3BIAS_V,Slot3_BIAS_Voltage,1.01,V,PASS,0.85,1.15,2025-12-19 13:19:25
T03_1V_3BIAS_I,Slot3_BIAS_Current,0.08,A,PASS,,,2025-12-19 13:19:25
T03_1V_99,Test_Duration,120.5,s,COMPLETE,,,2025-12-19 13:19:25

=== Test03_2V: FEMB Power Rail Test (2V) ===
Item,Parameter,Value,Unit,Status,Min,Max,Timestamp
T03_2V_00,WIB_Power_Ch1_V,,V,,11.0,13.0,
T03_2V_01,WIB_Power_Ch1_I,,A,,0.5,3.0,
T03_2V_02,WIB_Power_Ch2_V,,V,,11.0,13.0,
T03_2V_03,WIB_Power_Ch2_I,,A,,0.5,3.0,
T03_2V_0FE_V,Slot0_FE_Voltage,,V,,1.85,2.15,
T03_2V_0FE_I,Slot0_FE_Current,,A,,,,
T03_2V_0CD_V,Slot0_CD_Voltage,,V,,1.85,2.15,
T03_2V_0CD_I,Slot0_CD_Current,,A,,,,
T03_2V_0ADC_V,Slot0_ADC_Voltage,,V,,1.85,2.15,
T03_2V_0ADC_I,Slot0_ADC_Current,,A,,,,
T03_2V_0IDLE_V,Slot0_IDLE_Voltage,,V,,1.85,2.15,
T03_2V_0IDLE_I,Slot0_IDLE_Current,,A,,,,
T03_2V_0BIAS_V,Slot0_BIAS_Voltage,,V,,1.85,2.15,
T03_2V_0BIAS_I,Slot0_BIAS_Current,,A,,,,
T03_2V_1FE_V,Slot1_FE_Voltage,,V,,1.85,2.15,
T03_2V_1FE_I,Slot1_FE_Current,,A,,,,
T03_2V_1CD_V,Slot1_CD_Voltage,,V,,1.85,2.15,
T03_2V_1CD_I,Slot1_CD_Current,,A,,,,
T03_2V_1ADC_V,Slot1_ADC_Voltage,,V,,1.85,2.15,
T03_2V_1ADC_I,Slot1_ADC_Current,,A,,,,
T03_2V_1IDLE_V,Slot1_IDLE_Voltage,,V,,1.85,2.15,
T03_2V_1IDLE_I,Slot1_IDLE_Current,,A,,,,
T03_2V_1BIAS_V,Slot1_BIAS_Voltage,,V,,1.85,2.15,
T03_2V_1BIAS_I,Slot1_BIAS_Current,,A,,,,
T03_2V_2FE_V,Slot2_FE_Voltage,,V,,1.85,2.15,
T03_2V_2FE_I,Slot2_FE_Current,,A,,,,
T03_2V_2CD_V,Slot2_CD_Voltage,,V,,1.85,2.15,
T03_2V_2CD_I,Slot2_CD_Current,,A,,,,
T03_2V_2ADC_V,Slot2_ADC_Voltage,,V,,1.85,2.15,
T03_2V_2ADC_I,Slot2_ADC_Current,,A,,,,
T03_2V_2IDLE_V,Slot2_IDLE_Voltage,,V,,1.85,2.15,
T03_2V_2IDLE_I,Slot2_IDLE_Current,,A,,,,
T03_2V_2BIAS_V,Slot2_BIAS_Voltage,,V,,1.85,2.15,
T03_2V_2BIAS_I,Slot2_BIAS_Current,,A,,,,
T03_2V_3FE_V,Slot3_FE_Voltage,,V,,1.85,2.15,
T03_2V_3FE_I,Slot3_FE_Current,,A,,,,
T03_2V_3CD_V,Slot3_CD_Voltage,,V,,1.85,2.15,
T03_2V_3CD_I,Slot3_CD_Current,,A,,,,
T03_2V_3ADC_V,Slot3_ADC_Voltage,,V,,1.85,2.15,
T03_2V_3ADC_I,Slot3_ADC_Current,,A,,,,
T03_2V_3IDLE_V,Slot3_IDLE_Voltage,,V,,1.85,2.15,
T03_2V_3IDLE_I,Slot3_IDLE_Current,,A,,,,
T03_2V_3BIAS_V,Slot3_BIAS_Voltage,,V,,1.85,2.15,
T03_2V_3BIAS_I,Slot3_BIAS_Current,,A,,,,
T03_2V_99,Test_Duration,,s,,,,

=== Test03_3V: FEMB Power Rail Test (3V) ===
Item,Parameter,Value,Unit,Status,Min,Max,Timestamp
T03_3V_00,WIB_Power_Ch1_V,,V,,11.0,13.0,
T03_3V_01,WIB_Power_Ch1_I,,A,,0.5,3.0,
T03_3V_02,WIB_Power_Ch2_V,,V,,11.0,13.0,
T03_3V_03,WIB_Power_Ch2_I,,A,,0.5,3.0,
T03_3V_0FE_V,Slot0_FE_Voltage,,V,,2.85,3.15,
T03_3V_0FE_I,Slot0_FE_Current,,A,,,,
T03_3V_0CD_V,Slot0_CD_Voltage,,V,,2.85,3.15,
T03_3V_0CD_I,Slot0_CD_Current,,A,,,,
T03_3V_0ADC_V,Slot0_ADC_Voltage,,V,,2.85,3.15,
T03_3V_0ADC_I,Slot0_ADC_Current,,A,,,,
T03_3V_0IDLE_V,Slot0_IDLE_Voltage,,V,,2.85,3.15,
T03_3V_0IDLE_I,Slot0_IDLE_Current,,A,,,,
T03_3V_0BIAS_V,Slot0_BIAS_Voltage,,V,,2.85,3.15,
T03_3V_0BIAS_I,Slot0_BIAS_Current,,A,,,,
T03_3V_1FE_V,Slot1_FE_Voltage,,V,,2.85,3.15,
T03_3V_1FE_I,Slot1_FE_Current,,A,,,,
T03_3V_1CD_V,Slot1_CD_Voltage,,V,,2.85,3.15,
T03_3V_1CD_I,Slot1_CD_Current,,A,,,,
T03_3V_1ADC_V,Slot1_ADC_Voltage,,V,,2.85,3.15,
T03_3V_1ADC_I,Slot1_ADC_Current,,A,,,,
T03_3V_1IDLE_V,Slot1_IDLE_Voltage,,V,,2.85,3.15,
T03_3V_1IDLE_I,Slot1_IDLE_Current,,A,,,,
T03_3V_1BIAS_V,Slot1_BIAS_Voltage,,V,,2.85,3.15,
T03_3V_1BIAS_I,Slot1_BIAS_Current,,A,,,,
T03_3V_2FE_V,Slot2_FE_Voltage,,V,,2.85,3.15,
T03_3V_2FE_I,Slot2_FE_Current,,A,,,,
T03_3V_2CD_V,Slot2_CD_Voltage,,V,,2.85,3.15,
T03_3V_2CD_I,Slot2_CD_Current,,A,,,,
T03_3V_2ADC_V,Slot2_ADC_Voltage,,V,,2.85,3.15,
T03_3V_2ADC_I,Slot2_ADC_Current,,A,,,,
T03_3V_2IDLE_V,Slot2_IDLE_Voltage,,V,,2.85,3.15,
T03_3V_2IDLE_I,Slot2_IDLE_Current,,A,,,,
T03_3V_2BIAS_V,Slot2_BIAS_Voltage,,V,,2.85,3.15,
T03_3V_2BIAS_I,Slot2_BIAS_Current,,A,,,,
T03_3V_3FE_V,Slot3_FE_Voltage,,V,,2.85,3.15,
T03_3V_3FE_I,Slot3_FE_Current,,A,,,,
T03_3V_3CD_V,Slot3_CD_Voltage,,V,,2.85,3.15,
T03_3V_3CD_I,Slot3_CD_Current,,A,,,,
T03_3V_3ADC_V,Slot3_ADC_Voltage,,V,,2.85,3.15,
T03_3V_3ADC_I,Slot3_ADC_Current,,A,,,,
T03_3V_3IDLE_V,Slot3_IDLE_Voltage,,V,,2.85,3.15,
T03_3V_3IDLE_I,Slot3_IDLE_Current,,A,,,,
T03_3V_3BIAS_V,Slot3_BIAS_Voltage,,V,,2.85,3.15,
T03_3V_3BIAS_I,Slot3_BIAS_Current,,A,,,,
T03_3V_99,Test_Duration,,s,,,,

=== Test03_4V: FEMB Power Rail Test (4V) ===
Item,Parameter,Value,Unit,Status,Min,Max,Timestamp
T03_4V_00,WIB_Power_Ch1_V,,V,,11.0,13.0,
T03_4V_01,WIB_Power_Ch1_I,,A,,0.5,3.0,
T03_4V_02,WIB_Power_Ch2_V,,V,,11.0,13.0,
T03_4V_03,WIB_Power_Ch2_I,,A,,0.5,3.0,
T03_4V_0FE_V,Slot0_FE_Voltage,,V,,3.85,4.15,
T03_4V_0FE_I,Slot0_FE_Current,,A,,,,
T03_4V_0CD_V,Slot0_CD_Voltage,,V,,3.85,4.15,
T03_4V_0CD_I,Slot0_CD_Current,,A,,,,
T03_4V_0ADC_V,Slot0_ADC_Voltage,,V,,3.85,4.15,
T03_4V_0ADC_I,Slot0_ADC_Current,,A,,,,
T03_4V_0IDLE_V,Slot0_IDLE_Voltage,,V,,3.85,4.15,
T03_4V_0IDLE_I,Slot0_IDLE_Current,,A,,,,
T03_4V_0BIAS_V,Slot0_BIAS_Voltage,,V,,3.85,4.15,
T03_4V_0BIAS_I,Slot0_BIAS_Current,,A,,,,
T03_4V_1FE_V,Slot1_FE_Voltage,,V,,3.85,4.15,
T03_4V_1FE_I,Slot1_FE_Current,,A,,,,
T03_4V_1CD_V,Slot1_CD_Voltage,,V,,3.85,4.15,
T03_4V_1CD_I,Slot1_CD_Current,,A,,,,
T03_4V_1ADC_V,Slot1_ADC_Voltage,,V,,3.85,4.15,
T03_4V_1ADC_I,Slot1_ADC_Current,,A,,,,
T03_4V_1IDLE_V,Slot1_IDLE_Voltage,,V,,3.85,4.15,
T03_4V_1IDLE_I,Slot1_IDLE_Current,,A,,,,
T03_4V_1BIAS_V,Slot1_BIAS_Voltage,,V,,3.85,4.15,
T03_4V_1BIAS_I,Slot1_BIAS_Current,,A,,,,
T03_4V_2FE_V,Slot2_FE_Voltage,,V,,3.85,4.15,
T03_4V_2FE_I,Slot2_FE_Current,,A,,,,
T03_4V_2CD_V,Slot2_CD_Voltage,,V,,3.85,4.15,
T03_4V_2CD_I,Slot2_CD_Current,,A,,,,
T03_4V_2ADC_V,Slot2_ADC_Voltage,,V,,3.85,4.15,
T03_4V_2ADC_I,Slot2_ADC_Current,,A,,,,
T03_4V_2IDLE_V,Slot2_IDLE_Voltage,,V,,3.85,4.15,
T03_4V_2IDLE_I,Slot2_IDLE_Current,,A,,,,
T03_4V_2BIAS_V,Slot2_BIAS_Voltage,,V,,3.85,4.15,
T03_4V_2BIAS_I,Slot2_BIAS_Current,,A,,,,
T03_4V_3FE_V,Slot3_FE_Voltage,,V,,3.85,4.15,
T03_4V_3FE_I,Slot3_FE_Current,,A,,,,
T03_4V_3CD_V,Slot3_CD_Voltage,,V,,3.85,4.15,
T03_4V_3CD_I,Slot3_CD_Current,,A,,,,
T03_4V_3ADC_V,Slot3_ADC_Voltage,,V,,3.85,4.15,
T03_4V_3ADC_I,Slot3_ADC_Current,,A,,,,
T03_4V_3IDLE_V,Slot3_IDLE_Voltage,,V,,3.85,4.15,
T03_4V_3IDLE_I,Slot3_IDLE_Current,,A,,,,
T03_4V_3BIAS_V,Slot3_BIAS_Voltage,,V,,3.85,4.15,
T03_4V_3BIAS_I,Slot3_BIAS_Current,,A,,,,
T03_4V_99,Test_Duration,,s,,,,


Generated by DUNE WIB QC System
Created: 2025-12-19 13:19:25
Last Updated: ,2025-12-19 13:19:25
